time	x	y	z
1502634717.3712316	-2611194.11666	6277721.51365	14879.4681823
1502634718.3712316	-2628133.7412	6267716.81629	28935.6903429
1502634719.3712316	-2636709.92658	6266190.00445	26641.4718906
1502634720.3712316	-2631672.40539	6271270.71018	34897.5521856
1502634721.3712316	-2640951.85014	6261625.8708	53949.425231
1502634722.3712316	-2643965.174	6263332.93289	58344.1831252
1502634723.3712316	-2647941.84801	6271138.04816	49923.4335641
1502634724.3712316	-2642840.31028	6256870.41133	72349.6250652
1502634725.3712316	-2646291.39116	6266382.31134	68330.5818493
1502634726.3712316	-2661243.80625	6269938.61741	83791.6203572
1502634727.3712316	-2658823.39996	6250686.87881	82205.4438656
1502634728.3712316	-2676403.63121	6261210.14594	91423.6219644
1502634729.3712316	-2669874.44296	6256577.01583	89395.744462
1502634730.3712316	-2678746.77966	6245420.45811	88770.1604058
1502634731.3712316	-2677669.3997	6260001.69226	94641.5311415
1502634732.3712316	-2676836.56028	6244468.63999	114229.131968
1502634733.3712316	-2691020.18764	6253029.32256	116637.190413
1502634734.3712316	-2698805.82789	6245571.03739	118349.4953
1502634735.3712316	-2703470.3671	6253793.15771	122296.591113
1502634736.3712316	-2704102.69974	6248931.40622	139632.183449
1502634737.3712316	-2716714.04543	6241566.61012	137153.873713
1502634738.3712316	-2707637.74782	6246392.99239	152415.089561
1502634739.3712316	-2722251.10929	6230965.88809	160169.382016
1502634740.3712316	-2713462.82035	6233516.00912	157145.586029
1502634741.3712316	-2734005.88552	6236381.82806	169898.443152
1502634742.3712316	-2722011.89116	6235924.78994	167315.769769
1502634743.3712316	-2736640.96149	6223116.12025	166990.06727
1502634744.3712316	-2739180.73452	6232019.35004	175275.552188
1502634745.3712316	-2740551.55488	6221313.81228	185732.605252
1502634746.3712316	-2754539.59045	6222923.06382	185816.338327
1502634747.3712316	-2741791.49424	6220627.78955	206280.651345
1502634748.3712316	-2761655.11565	6208885.93036	211705.039171
1502634749.3712316	-2761958.06493	6223694.24326	203344.428725
1502634750.3712316	-2772528.06953	6222523.25447	221084.060422
1502634751.3712316	-2764784.24768	6217275.2231	227488.134382
1502634752.3712316	-2761840.97084	6203103.77933	227708.841253
1502634753.3712316	-2768187.07312	6206121.83347	229423.650923
1502634754.3712316	-2779751.74227	6196960.49115	237429.165388
1502634755.3712316	-2786259.59817	6194895.94526	258214.500004
1502634756.3712316	-2781728.38763	6196487.76396	254114.140585
1502634757.3712316	-2796555.35829	6195796.28327	266816.906815
1502634758.3712316	-2792783.42711	6205760.97375	259676.732614
1502634759.3712316	-2792793.5187	6196235.9774	272176.244744
1502634760.3712316	-2798076.65761	6188864.22679	274545.724789
1502634761.3712316	-2816129.25444	6195565.79038	281770.820297
1502634762.3712316	-2821487.55225	6190760.30568	286966.217828
1502634763.3712316	-2812691.48284	6179180.81335	286952.715738
1502634764.3712316	-2812348.10529	6184271.78556	306803.847476
1502634765.3712316	-2817482.97278	6175163.87107	314782.271579
1502634766.3712316	-2821177.93557	6182895.93166	311976.070545
1502634767.3712316	-2826302.69297	6184292.61461	324208.913319
1502634768.3712316	-2841903.03817	6180843.48369	325396.532591
1502634769.3712316	-2842305.76796	6162558.89986	327573.88515
1502634770.3712316	-2856981.95519	6162981.62368	347285.746951
1502634771.3712316	-2850445.92503	6166312.07283	337424.16485
1502634772.3712316	-2853554.98572	6166067.99832	352979.230667
1502634773.3712316	-2852109.37523	6163211.15553	349260.986293
1502634774.3712316	-2863327.6148	6157579.79782	368371.764036
1502634775.3712316	-2877832.00909	6165626.54865	370831.403205
1502634776.3712316	-2873770.9318	6145768.11874	369364.496841
1502634777.3712316	-2886173.95885	6153472.84858	389366.668182
1502634778.3712316	-2873684.20651	6151210.42191	391727.508563
1502634779.3712316	-2876246.39428	6145385.91923	382346.811758
1502634780.3712316	-2879746.09513	6136977.62089	408060.634395
1502634781.3712316	-2884713.35504	6147325.44469	413934.80612
1502634782.3712316	-2898495.79125	6142707.70369	411361.151197
1502634783.3712316	-2897328.68786	6132746.33453	425455.105966
1502634784.3712316	-2901120.99601	6142236.86291	424572.6427
1502634785.3712316	-2915993.73365	6142094.17344	420477.939216
1502634786.3712316	-2918467.93517	6127302.07287	442266.417212
1502634787.3712316	-2921390.65791	6129080.97579	443654.238261
1502634788.3712316	-2918485.26873	6120078.12254	452935.543218
1502634789.3712316	-2927325.78673	6126770.90228	457038.289763
1502634790.3712316	-2938976.92392	6123297.97215	456533.323655
1502634791.3712316	-2941153.58739	6115841.22767	456844.655865
1502634792.3712316	-2934197.13457	6124177.03027	479776.902221
1502634793.3712316	-2938184.40908	6117871.21492	482508.427634
1502634794.3712316	-2944521.77146	6107500.87951	481927.283906
1502634795.3712316	-2946295.93873	6113328.29036	492590.291496
1502634796.3712316	-2947833.25134	6103881.31592	485733.307553
1502634797.3712316	-2953452.42271	6107949.91303	493315.444569
1502634798.3712316	-2971452.53075	6106308.08371	511899.593353
1502634799.3712316	-2962419.97142	6107797.30296	502445.208868
1502634800.3712316	-2974739.33528	6106694.36977	516879.719699
1502634801.3712316	-2971707.7606	6096243.85216	532623.173135
1502634802.3712316	-2973898.92529	6098686.84179	525884.33248
1502634803.3712316	-2974880.53289	6093279.25528	537974.179961
1502634804.3712316	-2978728.39527	6096958.61081	545890.351504
1502634805.3712316	-2994889.6648	6088188.70103	540443.497719
1502634806.3712316	-2995623.44725	6082147.11748	544167.641506
1502634807.3712316	-3008990.19925	6084082.16826	558437.01863
1502634808.3712316	-2998439.53444	6068791.68256	559229.892285
1502634809.3712316	-2998391.07028	6075711.14017	567265.994926
1502634810.3712316	-3001968.93404	6064679.13409	584015.264712
1502634811.3712316	-3008035.17796	6073822.62371	592590.418787
1502634812.3712316	-3016067.6135	6064971.71517	597187.898844
1502634813.3712316	-3031738.72315	6062425.44415	600899.24996
1502634814.3712316	-3026055.61769	6053253.59834	598900.71381
1502634815.3712316	-3027284.66479	6068318.151	616400.422653
1502634816.3712316	-3044995.42968	6062975.2983	619992.83159
1502634817.3712316	-3031102.36617	6051025.8928	627132.230422
1502634818.3712316	-3050240.06657	6059889.43855	618154.20455
1502634819.3712316	-3043689.73126	6048010.59961	631778.491053
1502634820.3712316	-3044000.0258	6037246.31572	631128.158431
1502634821.3712316	-3051743.31896	6040656.04305	643544.874922
1502634822.3712316	-3068323.83569	6047139.21132	655544.243764
