time	x	y	z
1502634717.3712316	-2663444.82263	6240257.61676	87120.2347145
1502634718.3712316	-2647915.00115	6239804.45584	101673.836502
1502634719.3712316	-2677849.03451	6214894.10863	65138.385997
1502634720.3712316	-2683404.56972	6337589.73026	3571.47385036
1502634721.3712316	-2673361.83446	6236716.16974	17213.1611645
1502634722.3712316	-2653779.21714	6317476.16716	-5074.98205907
1502634723.3712316	-2644701.74669	6224033.04777	14515.4519429
1502634724.3712316	-2609491.42075	6261415.20414	95881.9979889
1502634725.3712316	-2604498.44842	6261946.39344	19770.0596082
1502634726.3712316	-2684763.84262	6196531.1814	24745.6373945
1502634727.3712316	-2614861.71412	6191923.10567	51941.1893567
1502634728.3712316	-2631723.43853	6244542.14705	15743.0017316
1502634729.3712316	-2686975.51654	6317032.94921	86936.9044696
1502634730.3712316	-2679854.9806	6179538.64818	131989.288503
1502634731.3712316	-2624644.933	6327213.8597	35733.2005146
1502634732.3712316	-2676175.22143	6199588.59105	121479.207707
1502634733.3712316	-2648776.53893	6191114.03423	75348.5054808
1502634734.3712316	-2723667.44632	6256934.11548	120632.573231
1502634735.3712316	-2674022.30611	6279845.47822	136761.162256
1502634736.3712316	-2779732.96157	6299759.94483	181250.925105
1502634737.3712316	-2719414.29897	6160986.11196	149672.038169
1502634738.3712316	-2686014.41578	6200680.77101	198040.307529
1502634739.3712316	-2775921.00512	6288324.89838	176129.47883
1502634740.3712316	-2689372.41116	6206952.94023	203692.170255
1502634741.3712316	-2761500.5167	6310730.07051	144831.797885
1502634742.3712316	-2654736.27999	6281820.14141	245367.368331
1502634743.3712316	-2725807.68695	6211476.66648	235838.563302
1502634744.3712316	-2672245.91814	6281407.37763	145529.430588
1502634745.3712316	-2747310.38437	6152861.80779	164689.24771
1502634746.3712316	-2675703.64296	6230401.68537	168977.882559
1502634747.3712316	-2704859.75176	6142708.52025	147903.681208
1502634748.3712316	-2716889.66563	6237074.26912	175451.839688
1502634749.3712316	-2809959.73906	6257118.67053	212355.954125
1502634750.3712316	-2800682.19952	6155903.98689	262109.588586
1502634751.3712316	-2814551.88596	6203908.18272	232495.974681
1502634752.3712316	-2757082.10912	6141763.61618	245656.637045
1502634753.3712316	-2714630.93834	6179707.11216	203833.679137
1502634754.3712316	-2799897.9989	6262376.6968	278997.862937
1502634755.3712316	-2768473.6272	6154325.94303	269109.911951
1502634756.3712316	-2797174.92777	6275428.8159	255534.166754
1502634757.3712316	-2780203.28513	6264970.13463	277626.272056
1502634758.3712316	-2807152.2296	6236373.53299	223523.745503
1502634759.3712316	-2794771.46928	6194482.11368	206323.193806
1502634760.3712316	-2740046.85451	6180980.38602	238480.525196
1502634761.3712316	-2827907.16641	6199584.10981	220587.752308
1502634762.3712316	-2853058.26495	6175901.91477	364439.875648
1502634763.3712316	-2837263.30413	6105314.69341	347966.422039
1502634764.3712316	-2835804.32828	6229698.57219	335312.807109
1502634765.3712316	-2856735.75816	6186150.61233	302488.206573
1502634766.3712316	-2843723.66021	6185475.79931	300081.096658
1502634767.3712316	-2913326.68758	6101637.79851	282249.776731
1502634768.3712316	-2763382.40834	6183378.56007	300624.876873
1502634769.3712316	-2824802.98958	6172991.42293	293263.238382
1502634770.3712316	-2769301.30007	6142977.6552	323103.085665
1502634771.3712316	-2877328.70195	6099443.05855	407264.177796
1502634772.3712316	-2927351.47625	6168762.29147	347644.096511
1502634773.3712316	-2890694.79712	6141989.18269	399257.677304
1502634774.3712316	-2814261.75812	6194621.42354	299107.687173
1502634775.3712316	-2839081.01548	6168311.72841	406424.553448
1502634776.3712316	-2803462.37722	6092299.70863	363165.183141
1502634777.3712316	-2895681.87597	6206810.76108	430779.604841
1502634778.3712316	-2851083.73628	6115452.63339	427162.527364
1502634779.3712316	-2933224.87118	6126997.01457	355542.044982
1502634780.3712316	-2828239.90349	6130659.46224	431306.713767
1502634781.3712316	-2950098.88118	6086974.79464	397838.28688
1502634782.3712316	-2960058.92844	6169428.54855	358149.478259
1502634783.3712316	-2892532.89501	6187419.10702	410320.826174
1502634784.3712316	-2916546.8454	6145936.77925	402080.511576
1502634785.3712316	-2940599.1452	6141809.53041	494691.26158
1502634786.3712316	-2846351.20969	6155136.6086	501106.628292
1502634787.3712316	-2980754.61364	6101354.81187	519546.896457
1502634788.3712316	-2863018.68213	6178801.93568	385722.024363
1502634789.3712316	-2955397.42454	6066175.56082	440022.766007
1502634790.3712316	-3003864.91545	6043688.14682	411266.25313
1502634791.3712316	-2945387.64781	6192780.51656	517358.412933
1502634792.3712316	-2993009.69658	6145648.05425	472840.006739
1502634793.3712316	-2912692.82062	6153097.58615	411212.386587
1502634794.3712316	-3020562.76194	6129820.60961	444132.007308
1502634795.3712316	-2967201.46547	6136201.26969	409348.318238
1502634796.3712316	-3010788.76204	6119285.38354	532425.815199
