time	x	y	z
1502634593.7599268	5322000.00979	4810219.43219	3052777.047
1502634594.7599268	5317719.45656	4791841.79468	3056523.41253
1502634595.7599268	5309577.37346	4779910.47084	3083610.42123
1502634596.7599268	5330213.37153	4814217.82583	3092168.46061
1502634597.7599268	5318965.29034	4784774.57396	3060035.93264
1502634598.7599268	5330420.29104	4800833.21204	3092060.7515
1502634599.7599268	5331167.56525	4790055.91149	3097594.23137
1502634600.7599268	5312603.06087	4768837.64538	3101925.55833
1502634601.7599268	5315865.49937	4788184.86324	3118825.05728
1502634602.7599268	5321183.61888	4776435.73208	3130444.75
1502634603.7599268	5326647.02018	4781285.79921	3107958.1492
1502634604.7599268	5301683.91749	4778661.14491	3141906.16784
1502634605.7599268	5325103.47074	4792786.03251	3118727.18101
1502634606.7599268	5322142.32418	4780537.63597	3149273.42831
1502634607.7599268	5306843.57416	4757778.31817	3159347.55751
1502634608.7599268	5292675.13359	4791230.06961	3152189.33286
1502634609.7599268	5305057.29739	4777856.37198	3168628.39221
1502634610.7599268	5302644.9093	4760991.82827	3149063.26791
1502634611.7599268	5300023.97141	4748701.1345	3169165.2628
1502634612.7599268	5310426.79894	4767522.06085	3186463.59426
1502634613.7599268	5278212.66265	4774875.34634	3176342.44097
1502634614.7599268	5279685.17914	4750914.14586	3174179.79984
1502634615.7599268	5283754.39611	4749561.43126	3202070.64753
1502634616.7599268	5299362.67363	4750110.96533	3222833.49421
1502634617.7599268	5275082.42946	4740518.09815	3202511.36411
1502634618.7599268	5274794.58863	4757579.79571	3228819.36756
1502634619.7599268	5262721.93002	4743368.50181	3238252.17205
1502634620.7599268	5268034.48128	4753961.77103	3234564.68377
1502634621.7599268	5276427.26382	4758657.9863	3228916.88109
1502634622.7599268	5261867.05386	4739088.88112	3251135.64879
1502634623.7599268	5265778.15106	4740247.78482	3245394.02574
1502634624.7599268	5252636.29261	4747598.31635	3275206.43508
1502634625.7599268	5268157.77999	4743456.56209	3263241.58797
1502634626.7599268	5280187.71684	4752721.32977	3260255.58848
1502634627.7599268	5263966.23585	4726437.75736	3293458.19692
1502634628.7599268	5272607.98287	4737425.47466	3297522.85456
1502634629.7599268	5262574.52216	4740739.53447	3302013.07525
1502634630.7599268	5267252.62568	4710341.5721	3291534.85644
1502634631.7599268	5229965.97305	4727216.49853	3308905.41902
1502634632.7599268	5251119.55104	4724864.86484	3292874.01107
1502634633.7599268	5227916.41178	4741153.44534	3309117.85264
1502634634.7599268	5227863.66633	4706203.99167	3317820.48393
1502634635.7599268	5224395.03604	4734870.96998	3329019.39448
1502634636.7599268	5226859.98403	4699417.17898	3318975.06512
1502634637.7599268	5218581.56848	4697984.21184	3338722.49657
