time	x	y	z
1500453682.6783006	-5508642.83348	-1350608.87395	-1903542.40708
1500453683.6783006	-5498946.87623	-1349709.497	-1922498.62889
1500453684.6783006	-5494489.64777	-1350847.00268	-1918995.54331
1500453685.6783006	-5469808.40915	-1362141.8704	-1919340.80961
1500453686.6783006	-5465865.11615	-1381920.53571	-1920543.19551
1500453687.6783006	-5468073.90565	-1399338.59689	-1911081.4852
1500453688.6783006	-5473025.17021	-1389094.46273	-1914764.90207
1500453689.6783006	-5476634.05006	-1416071.3062	-1932946.59695
1500453690.6783006	-5479335.06516	-1410500.20685	-1937413.89751
1500453691.6783006	-5466172.50191	-1404925.58507	-1930126.75698
1500453692.6783006	-5450567.10987	-1424770.39554	-1928372.75777
1500453693.6783006	-5449090.34122	-1436146.81842	-1929025.86346
1500453694.6783006	-5448779.26025	-1443262.14763	-1950577.08753
1500453695.6783006	-5424662.89756	-1442062.32314	-1957191.4105
1500453696.6783006	-5419608.86204	-1443440.75299	-1935884.56908
1500453697.6783006	-5439210.39745	-1469941.91409	-1967499.41359
1500453698.6783006	-5444085.78131	-1456967.14648	-1967210.7474
1500453699.6783006	-5402534.25174	-1471861.72956	-1969130.29718
1500453700.6783006	-5426386.46528	-1477246.24191	-1960114.15532
1500453701.6783006	-5410101.38677	-1481803.82843	-1980685.19209
1500453702.6783006	-5390904.25413	-1475844.71365	-1955632.1155
1500453703.6783006	-5417212.85404	-1521299.75481	-1952802.97484
1500453704.6783006	-5409240.40366	-1501896.40384	-1958500.76577
1500453705.6783006	-5375500.66785	-1504357.4259	-1974157.16187
1500453706.6783006	-5369182.40447	-1521185.30598	-1981986.78392
1500453707.6783006	-5395064.01977	-1526049.20668	-1967595.8824
1500453708.6783006	-5398564.79867	-1555960.28577	-1986246.40453
1500453709.6783006	-5390160.62578	-1534951.70921	-1988474.71553
1500453710.6783006	-5379430.17018	-1536311.47649	-1984176.93608
1500453711.6783006	-5366822.95072	-1579718.3558	-1975195.56201
1500453712.6783006	-5343964.80144	-1566956.90303	-2009039.34727
1500453713.6783006	-5346366.23938	-1587014.38899	-1989791.39645
1500453714.6783006	-5361696.30825	-1565257.80231	-2005874.08263
1500453715.6783006	-5339132.86798	-1591728.92163	-2010845.21905
1500453716.6783006	-5357441.89729	-1581009.48578	-1998164.30677
1500453717.6783006	-5330797.23117	-1591766.49023	-2009551.71698
1500453718.6783006	-5329973.05489	-1623287.2685	-2006202.03301
1500453719.6783006	-5313912.52788	-1603189.96566	-2024121.26612
1500453720.6783006	-5318242.04642	-1605587.72201	-2008802.01088
1500453721.6783006	-5329284.30258	-1649212.57123	-2034359.60803
1500453722.6783006	-5319749.23215	-1624493.16679	-2020035.98615
1500453723.6783006	-5294816.74748	-1644074.73807	-2015152.08274
1500453724.6783006	-5296126.78963	-1671627.60723	-2029696.50191
1500453725.6783006	-5314843.02916	-1667636.17505	-2046725.72298
1500453726.6783006	-5277635.39475	-1652374.8837	-2033046.48813
1500453727.6783006	-5293501.23711	-1681178.38798	-2014393.58107
1500453728.6783006	-5272608.28966	-1669233.14959	-2044317.51326
1500453729.6783006	-5279995.54232	-1708410.71937	-2031419.21879
1500453730.6783006	-5270522.91747	-1691335.82725	-2038448.72983
1500453731.6783006	-5268895.5904	-1694952.05761	-2060700.45457
1500453732.6783006	-5255034.85012	-1698761.85519	-2033300.60373
1500453733.6783006	-5266297.91337	-1711599.2942	-2064155.53327
1500453734.6783006	-5273348.71019	-1743038.64332	-2064104.53536
1500453735.6783006	-5256956.08564	-1720007.91815	-2062906.27441
1500453736.6783006	-5244402.95955	-1720542.23656	-2048468.83016
1500453737.6783006	-5235038.98338	-1764300.39941	-2058927.37073
1500453738.6783006	-5229198.50046	-1753621.74851	-2059038.47073
1500453739.6783006	-5245224.92919	-1754168.34516	-2054846.06656
1500453740.6783006	-5232028.89199	-1748370.04566	-2062984.10184
1500453741.6783006	-5234237.85359	-1780696.16783	-2060003.29619
1500453742.6783006	-5222377.40902	-1780722.67585	-2063472.3683
1500453743.6783006	-5218072.25739	-1776953.00883	-2060131.21608
1500453744.6783006	-5197403.64044	-1794614.52414	-2081303.61371
1500453745.6783006	-5223244.59967	-1810232.74296	-2090166.31018
1500453746.6783006	-5204528.74978	-1813805.40784	-2068471.31448
1500453747.6783006	-5176244.49406	-1812399.91622	-2084927.03889
1500453748.6783006	-5178857.72787	-1818646.13646	-2102416.87485
1500453749.6783006	-5178467.07821	-1813556.80724	-2095025.75616
1500453750.6783006	-5177452.39627	-1851576.66068	-2097761.2618
1500453751.6783006	-5168129.38793	-1849626.503	-2077299.53534
1500453752.6783006	-5149548.59297	-1847671.2364	-2079910.82687
1500453753.6783006	-5166510.98073	-1850043.87606	-2091611.20771
1500453754.6783006	-5143361.63021	-1883560.45754	-2093598.0055
1500453755.6783006	-5161360.53178	-1880994.16895	-2088477.07673
1500453756.6783006	-5139002.74108	-1883404.42339	-2093866.82077
1500453757.6783006	-5142809.83734	-1892055.3108	-2090472.94808
1500453758.6783006	-5146661.28804	-1896697.35752	-2129856.7027
1500453759.6783006	-5140199.87813	-1912984.55408	-2127991.14725
1500453760.6783006	-5122181.25557	-1920995.89214	-2104876.29792
1500453761.6783006	-5131350.32755	-1898494.5672	-2109095.15063
1500453762.6783006	-5136593.16054	-1941752.12448	-2137241.64536
1500453763.6783006	-5130162.7616	-1940477.67242	-2121261.18623
1500453764.6783006	-5090210.27022	-1931110.20545	-2127228.109
1500453765.6783006	-5104604.85221	-1944804.6522	-2121943.06476
1500453766.6783006	-5117617.00311	-1960530.84325	-2112060.10628
1500453767.6783006	-5086151.85139	-1976431.29084	-2152004.50335
1500453768.6783006	-5087121.60134	-1945152.02875	-2134532.2045
1500453769.6783006	-5087645.21794	-1970469.86795	-2152817.62989
1500453770.6783006	-5078093.25169	-1995289.95825	-2149811.60336
1500453771.6783006	-5085104.05139	-1977670.78826	-2149345.91679
1500453772.6783006	-5068924.30865	-1995833.77738	-2151453.51299
1500453773.6783006	-5056369.74186	-1997722.93397	-2136162.60927
1500453774.6783006	-5044116.81705	-2019205.89772	-2129487.06046
1500453775.6783006	-5045770.03259	-2032022.1271	-2162112.48846
1500453776.6783006	-5030196.22936	-2039895.23929	-2155430.27939
1500453777.6783006	-5028065.6016	-2010485.7439	-2145001.55826
1500453778.6783006	-5038919.38141	-2021172.83771	-2147866.73197
1500453779.6783006	-5036369.50686	-2058416.12759	-2148367.35175
1500453780.6783006	-5012600.05014	-2033182.84845	-2150101.16434
1500453781.6783006	-5012830.60336	-2035160.12467	-2164630.10496
1500453782.6783006	-4999325.85248	-2042956.04966	-2150650.33619
1500453783.6783006	-5011561.83484	-2068104.41604	-2177816.91932
1500453784.6783006	-4984800.57736	-2069686.76161	-2158928.20974
