time	x	y	z
1502628669.3819425	-2579668.91405	6290591.22572	21455.9703576
1502628670.3819425	-2573606.3337	6292238.60741	21583.2379602
1502628671.3819425	-2586249.18198	6305408.73522	24658.3077863
1502628672.3819425	-2582454.31595	6305959.6779	41128.2175764
1502628673.3819425	-2571104.17045	6293465.63745	48300.6815028
1502628674.3819425	-2567163.6309	6305781.24984	39443.8914943
1502628675.3819425	-2562718.71126	6303980.79273	43073.1519962
1502628676.3819425	-2558205.6624	6299962.10847	50281.1240263
1502628677.3819425	-2541585.87954	6314947.34925	56488.0303181
1502628678.3819425	-2533561.59381	6300947.85874	63423.6226729
1502628679.3819425	-2542614.362	6319682.70626	66438.4196164
1502628680.3819425	-2523029.751	6305578.64148	86154.3056826
1502628681.3819425	-2532946.26078	6309922.61257	78007.8892191
1502628682.3819425	-2530657.28234	6317470.73952	87555.9709065
1502628683.3819425	-2511906.52222	6310732.9452	86993.0219512
1502628684.3819425	-2504690.65133	6323360.6621	94871.7821338
1502628685.3819425	-2505529.31175	6330740.04401	104404.625403
1502628686.3819425	-2506774.11178	6316088.00281	109611.138718
1502628687.3819425	-2492396.93794	6330776.16273	115635.024997
1502628688.3819425	-2486175.18153	6334577.17245	124011.705359
1502628689.3819425	-2496077.7963	6334259.86435	132404.23798
1502628690.3819425	-2483759.8631	6328619.53297	137419.082518
1502628691.3819425	-2484822.18595	6325021.74456	135201.810394
1502628692.3819425	-2463456.73473	6339123.3221	139047.56413
1502628693.3819425	-2458428.19548	6338811.40324	143482.381704
1502628694.3819425	-2454810.7663	6338213.39662	157377.536691
1502628695.3819425	-2458940.49473	6349649.89785	153768.157519
1502628696.3819425	-2456331.37618	6336213.6242	170932.76455
1502628697.3819425	-2452054.4719	6344458.18428	176148.734172
1502628698.3819425	-2438727.62998	6348162.85225	180375.24035
1502628699.3819425	-2437663.24123	6353998.34155	190647.058923
1502628700.3819425	-2426823.05215	6347402.03065	181107.412792
1502628701.3819425	-2428933.25447	6352457.8415	186895.664149
1502628702.3819425	-2429778.78061	6356188.72154	187873.078082
1502628703.3819425	-2410767.41743	6357027.85937	197994.585561
1502628704.3819425	-2412828.98902	6357186.80259	213873.53181
1502628705.3819425	-2407263.0373	6361381.77292	215027.064532
1502628706.3819425	-2408649.15513	6369271.67785	219040.214127
1502628707.3819425	-2401777.84146	6370317.39365	215526.33592
1502628708.3819425	-2393572.44809	6370677.2517	221373.797328
1502628709.3819425	-2377214.93298	6361852.29244	231744.892783
1502628710.3819425	-2389651.14597	6359746.66932	233799.729796
1502628711.3819425	-2381099.17096	6360688.85348	238594.296607
1502628712.3819425	-2361766.97955	6368812.85448	261053.333812
1502628713.3819425	-2369187.30176	6375053.78254	249044.507063
1502628714.3819425	-2359658.21172	6384339.4234	268086.303184
1502628715.3819425	-2346139.74104	6383559.3406	268851.486235
1502628716.3819425	-2357223.92581	6369344.65083	271206.610909
1502628717.3819425	-2336956.00505	6376459.14416	282085.991985
1502628718.3819425	-2348119.36074	6384800.03333	277596.410512
1502628719.3819425	-2333595.88347	6376682.0218	281547.021186
1502628720.3819425	-2331619.06597	6387610.38545	287001.823903
1502628721.3819425	-2318001.02929	6390227.59912	305537.502291
1502628722.3819425	-2324876.55716	6390091.86366	308171.215892
1502628723.3819425	-2311644.96634	6380194.46879	306078.736917
1502628724.3819425	-2311422.0582	6399616.30376	307882.054928
1502628725.3819425	-2308878.63747	6383480.6191	330301.088319
1502628726.3819425	-2289782.11202	6398746.6472	322138.493153
1502628727.3819425	-2294878.85766	6402380.43799	340749.540081
1502628728.3819425	-2282574.05169	6404334.36143	342424.369233
1502628729.3819425	-2283003.82865	6401862.76256	342422.172553
1502628730.3819425	-2276199.58982	6391164.11731	344167.841239
1502628731.3819425	-2262160.33063	6394042.73756	348915.216937
1502628732.3819425	-2265779.24214	6410263.25011	364334.044917
1502628733.3819425	-2267986.97308	6408821.45028	365362.125244
1502628734.3819425	-2250411.8068	6397298.31299	374649.738246
1502628735.3819425	-2253938.16874	6411052.33936	381619.512881
1502628736.3819425	-2253183.02828	6412500.78214	381522.942026
1502628737.3819425	-2247606.60647	6413307.93446	386448.452228
1502628738.3819425	-2242933.78314	6414988.15797	386951.160055
1502628739.3819425	-2224470.73383	6420599.71711	390662.872905
1502628740.3819425	-2216370.65783	6420798.73386	406131.892409
1502628741.3819425	-2212443.05125	6414555.96053	415247.640058
1502628742.3819425	-2214477.68895	6414899.91535	406999.62668
1502628743.3819425	-2217340.67931	6415822.53769	412320.922353
1502628744.3819425	-2199492.54827	6422564.09011	424026.028009
1502628745.3819425	-2199469.06818	6426930.23083	429312.690271
1502628746.3819425	-2192607.21645	6433414.23914	428136.139979
1502628747.3819425	-2189223.72633	6418081.52463	434407.477643
1502628748.3819425	-2185540.00933	6424026.3176	452891.200211
1502628749.3819425	-2185232.66913	6432029.8372	451193.104431
1502628750.3819425	-2174674.32696	6428065.01351	450716.502543
1502628751.3819425	-2163721.89901	6424857.52343	462641.407185
1502628752.3819425	-2156375.71767	6433139.98156	461395.601022
1502628753.3819425	-2148912.85304	6428423.7192	463566.223117
1502628754.3819425	-2152595.49873	6427766.69231	487915.095702
1502628755.3819425	-2142206.33688	6433284.83891	488833.109911
1502628756.3819425	-2142210.45594	6429170.60824	493731.844136
1502628757.3819425	-2139291.59356	6445689.7627	498962.796315
